x,m,v_x,v_y
7.271799087524414062e+00,1.100538134574890137e+00,2.672578573226928711e+00,2.022561550140380859e+00
8.317398071289062500e+00,1.100538134574890137e+00,1.364929914474487305e+00,1.148720622062683105e+00
6.706831932067871094e+00,1.198712706565856934e+00,3.550339698791503906e+00,2.637671947479248047e+00
7.884649276733398438e+00,1.198712706565856934e+00,1.880272030830383301e+00,1.492351651191711426e+00
4.651791095733642578e+00,1.296887516975402832e+00,8.844863891601562500e+00,6.671791553497314453e+00
5.760936737060546875e+00,1.296887516975402832e+00,5.403397560119628906e+00,3.995173692703247070e+00
7.038806915283203125e+00,1.296887516975402832e+00,3.027071237564086914e+00,2.267812252044677734e+00
7.955291271209716797e+00,1.296887516975402832e+00,1.801634907722473145e+00,1.437361598014831543e+00
4.046902656555175781e+00,1.395061492919921875e+00,1.189396190643310547e+01,9.087245941162109375e+00
5.052365303039550781e+00,1.395061492919921875e+00,7.398624420166015625e+00,5.535457134246826172e+00
5.953385829925537109e+00,1.395061492919921875e+00,4.972410202026367188e+00,3.678617238998413086e+00
6.765401363372802734e+00,1.395061492919921875e+00,3.444819450378417969e+00,2.558588743209838867e+00
7.324040412902832031e+00,1.395061492919921875e+00,2.620388269424438477e+00,1.987690448760986328e+00
7.724570274353027344e+00,1.395061492919921875e+00,2.070498466491699219e+00,1.614796638488769531e+00
8.034644126892089844e+00,1.395061492919921875e+00,1.704756975173950195e+00,1.372147440910339355e+00
8.264333724975585938e+00,1.395061492919921875e+00,1.427014231681823730e+00,1.192706227302551270e+00
8.410611152648925781e+00,1.395061492919921875e+00,1.248429775238037109e+00,1.071157217025756836e+00
8.508324623107910156e+00,1.395061492919921875e+00,1.120839953422546387e+00,9.844572544097900391e-01
8.514977455139160156e+00,1.395061492919921875e+00,1.117930531501770020e+00,9.829612374305725098e-01
2.569176912307739258e+00,1.493236899375915527e+00,2.901099395751953125e+01,2.462433242797851562e+01
3.478888750076293945e+00,1.493236899375915527e+00,1.614583206176757812e+01,1.274061203002929688e+01
4.173357009887695312e+00,1.493236899375915527e+00,1.114962863922119141e+01,8.396482467651367188e+00
4.918820858001708984e+00,1.493236899375915527e+00,7.851213455200195312e+00,5.864463806152343750e+00
5.405011653900146484e+00,1.493236899375915527e+00,6.313031673431396484e+00,4.677903652191162109e+00
5.823536872863769531e+00,1.493236899375915527e+00,5.248275756835937500e+00,3.870140552520751953e+00
