x,m,v_x,v_y
8.522607803344726562e+00,9.041898846626281738e-01,1.010357260704040527e+00,9.057540893554687500e-01
7.086661815643310547e+00,1.002363920211791992e+00,2.869455099105834961e+00,2.161526918411254883e+00
8.055912971496582031e+00,1.002363920211791992e+00,1.553638458251953125e+00,1.263912200927734375e+00
5.089644908905029297e+00,1.100538134574890137e+00,7.400782585144042969e+00,5.478051185607910156e+00
5.862603187561035156e+00,1.100538134574890137e+00,5.180982589721679688e+00,3.807281017303466797e+00
6.701016426086425781e+00,1.100538134574890137e+00,3.490419626235961914e+00,2.588823080062866211e+00
7.687935352325439453e+00,1.100538134574890137e+00,2.109647035598754883e+00,1.647491574287414551e+00
8.415157318115234375e+00,1.100538134574890137e+00,1.131951689720153809e+00,9.930212497711181641e-01
4.723956108093261719e+00,1.198712706565856934e+00,8.801100730895996094e+00,6.541679859161376953e+00
5.542319774627685547e+00,1.198712706565856934e+00,6.013662815093994141e+00,4.426489353179931641e+00
6.402366638183593750e+00,1.198712706565856934e+00,4.023091316223144531e+00,2.964313030242919922e+00
7.064480781555175781e+00,1.198712706565856934e+00,2.908404111862182617e+00,2.187818050384521484e+00
7.668854713439941406e+00,1.198712706565856934e+00,2.120315313339233398e+00,1.658904910087585449e+00
8.060859680175781250e+00,1.198712706565856934e+00,1.548226714134216309e+00,1.261043310165405273e+00
8.383532524108886719e+00,1.198712706565856934e+00,1.174661636352539062e+00,1.022134780883789062e+00
8.533257484436035156e+00,1.198712706565856934e+00,9.958738088607788086e-01,8.942785263061523438e-01
8.518790245056152344e+00,1.198712706565856934e+00,1.015568017959594727e+00,9.100160002708435059e-01
3.469529151916503906e+00,1.296887516975402832e+00,1.731710433959960938e+01,1.363577556610107422e+01
4.180160045623779297e+00,1.296887516975402832e+00,1.164829444885253906e+01,8.780470848083496094e+00
4.930201053619384766e+00,1.296887516975402832e+00,7.963666915893554688e+00,5.918313980102539062e+00
5.588954925537109375e+00,1.296887516975402832e+00,5.880743503570556641e+00,4.321232318878173828e+00
6.153614044189453125e+00,1.296887516975402832e+00,4.519535064697265625e+00,3.318325757980346680e+00
6.547890663146972656e+00,1.296887516975402832e+00,3.760430097579956055e+00,2.782554626464843750e+00
6.849261283874511719e+00,1.296887516975402832e+00,3.228393793106079102e+00,2.406696557998657227e+00
7.051318645477294922e+00,1.296887516975402832e+00,2.925870180130004883e+00,2.199353456497192383e+00
7.181388378143310547e+00,1.296887516975402832e+00,2.736722946166992188e+00,2.089404582977294922e+00
7.251201629638671875e+00,1.296887516975402832e+00,2.650671482086181641e+00,2.055192947387695312e+00
7.269256114959716797e+00,1.296887516975402832e+00,2.632123947143554688e+00,2.051029920578002930e+00
7.255672931671142578e+00,1.296887516975402832e+00,2.646137237548828125e+00,2.054066658020019531e+00
7.233789443969726562e+00,1.296887516975402832e+00,2.663181781768798828e+00,2.060359001159667969e+00
7.211288928985595703e+00,1.296887516975402832e+00,2.688374280929565430e+00,2.068456411361694336e+00
7.202200412750244141e+00,1.296887516975402832e+00,2.702830314636230469e+00,2.075076341629028320e+00
7.209412097930908203e+00,1.296887516975402832e+00,2.691284656524658203e+00,2.069741010665893555e+00
7.225563526153564453e+00,1.296887516975402832e+00,2.667300701141357422e+00,2.060902833938598633e+00
7.229597568511962891e+00,1.296887516975402832e+00,2.665237665176391602e+00,2.060373544692993164e+00
7.204594612121582031e+00,1.296887516975402832e+00,2.698945760726928711e+00,2.073318719863891602e+00
7.122586250305175781e+00,1.296887516975402832e+00,2.809923410415649414e+00,2.124864578247070312e+00
7.089410781860351562e+00,1.296887516975402832e+00,2.864355802536010742e+00,2.158400535583496094e+00
2.553098201751708984e+00,1.395061492919921875e+00,3.157183265686035156e+01,2.668415641784667969e+01
3.143419504165649414e+00,1.395061492919921875e+00,2.111259651184082031e+01,1.699844360351562500e+01
3.714741945266723633e+00,1.395061492919921875e+00,1.501625251770019531e+01,1.165388202667236328e+01
4.292451858520507812e+00,1.395061492919921875e+00,1.096488475799560547e+01,8.233316421508789062e+00
4.748888492584228516e+00,1.395061492919921875e+00,8.694504737854003906e+00,6.440640449523925781e+00
5.110792636871337891e+00,1.395061492919921875e+00,7.329176425933837891e+00,5.435539245605468750e+00
5.395322799682617188e+00,1.395061492919921875e+00,6.433628082275390625e+00,4.739695072174072266e+00
5.629546165466308594e+00,1.395061492919921875e+00,5.773762702941894531e+00,4.245760917663574219e+00
5.781153678894042969e+00,1.395061492919921875e+00,5.380650997161865234e+00,3.955250024795532227e+00
5.875017166137695312e+00,1.395061492919921875e+00,5.151431083679199219e+00,3.783169507980346680e+00
5.934106826782226562e+00,1.395061492919921875e+00,5.011223316192626953e+00,3.680537939071655273e+00
5.971693038940429688e+00,1.395061492919921875e+00,4.922665596008300781e+00,3.613326549530029297e+00
6.001043319702148438e+00,1.395061492919921875e+00,4.854146957397460938e+00,3.559840917587280273e+00
6.026525020599365234e+00,1.395061492919921875e+00,4.802306652069091797e+00,3.529596328735351562e+00
6.036953926086425781e+00,1.395061492919921875e+00,4.780295372009277344e+00,3.512893676757812500e+00
6.029394149780273438e+00,1.395061492919921875e+00,4.796151638031005859e+00,3.525186777114868164e+00
5.992940902709960938e+00,1.395061492919921875e+00,4.862807750701904297e+00,3.562236070632934570e+00
5.928786277770996094e+00,1.395061492919921875e+00,5.022591114044189453e+00,3.687245368957519531e+00
2.178457021713256836e+00,1.493236899375915527e+00,4.222048187255859375e+01,3.684822082519531250e+01
2.740965366363525391e+00,1.493236899375915527e+00,2.759061622619628906e+01,2.294312095642089844e+01
3.228557586669921875e+00,1.493236899375915527e+00,1.966966056823730469e+01,1.574293804168701172e+01
3.628068923950195312e+00,1.493236899375915527e+00,1.578288078308105469e+01,1.230407333374023438e+01
3.946575164794921875e+00,1.493236899375915527e+00,1.320474243164062500e+01,1.009855365753173828e+01
4.214893341064453125e+00,1.493236899375915527e+00,1.142773628234863281e+01,8.624028205871582031e+00
4.411959648132324219e+00,1.493236899375915527e+00,1.032329750061035156e+01,7.669737339019775391e+00
4.580382823944091797e+00,1.493236899375915527e+00,9.466038703918457031e+00,7.011840343475341797e+00
4.693137645721435547e+00,1.493236899375915527e+00,8.937291145324707031e+00,6.649067401885986328e+00
